Date,Open,High,Low,Close,Adj Close,Volume
2010-11-30,3.130000,3.130000,3.130000,3.130000,3.130000,0
2010-12-01,3.140000,3.140000,3.140000,3.140000,3.140000,0
2010-12-02,3.140000,3.140000,3.140000,3.140000,3.140000,0
2010-12-03,3.150000,3.150000,3.150000,3.150000,3.150000,0
2010-12-06,3.160000,3.160000,3.160000,3.160000,3.160000,0
2010-12-07,3.170000,3.170000,3.170000,3.170000,3.170000,0
2010-12-08,3.180000,3.180000,3.180000,3.180000,3.180000,0
2010-12-09,3.190000,3.190000,3.190000,3.190000,3.190000,0
2010-12-10,3.190000,3.190000,3.190000,3.190000,3.190000,0
2010-12-13,3.180000,3.180000,3.180000,3.180000,3.180000,0
2010-12-14,3.190000,3.190000,3.190000,3.190000,3.190000,0
2010-12-15,3.180000,3.180000,3.180000,3.180000,3.180000,0
2010-12-16,3.190000,3.190000,3.190000,3.190000,3.190000,0
2010-12-17,3.210000,3.210000,3.210000,3.210000,3.210000,0
2010-12-20,3.210000,3.210000,3.210000,3.210000,3.210000,0
2010-12-21,3.240000,3.240000,3.240000,3.240000,3.240000,0
2010-12-22,3.260000,3.260000,3.260000,3.260000,3.260000,0
2010-12-23,3.270000,3.270000,3.270000,3.270000,3.270000,0
2010-12-27,3.240000,3.240000,3.240000,3.240000,3.240000,0
2010-12-28,3.250000,3.250000,3.250000,3.250000,3.250000,0
2010-12-29,3.280000,3.280000,3.280000,3.280000,3.280000,0
2010-12-30,3.270000,3.270000,3.270000,3.270000,3.270000,0
2011-01-03,3.300000,3.300000,3.300000,3.300000,3.300000,0
2011-01-04,3.310000,3.310000,3.310000,3.310000,3.310000,0
2011-01-05,3.350000,3.350000,3.350000,3.350000,3.350000,0
2011-01-06,3.360000,3.360000,3.360000,3.360000,3.360000,0
2011-01-07,3.350000,3.350000,3.350000,3.350000,3.350000,0
2011-01-10,3.330000,3.330000,3.330000,3.330000,3.330000,0
2011-01-11,3.350000,3.350000,3.350000,3.350000,3.350000,0
2011-01-12,3.370000,3.370000,3.370000,3.370000,3.370000,0
2011-01-13,3.300000,3.300000,3.300000,3.300000,3.300000,0
2011-01-14,3.290000,3.290000,3.290000,3.290000,3.290000,0
2011-01-17,3.290000,3.290000,3.290000,3.290000,3.290000,0
2011-01-18,3.280000,3.280000,3.280000,3.280000,3.280000,0
2011-01-19,3.260000,3.260000,3.260000,3.260000,3.260000,0
2011-01-20,3.230000,3.230000,3.230000,3.230000,3.230000,0
2011-01-21,3.170000,3.170000,3.170000,3.170000,3.170000,0
2011-01-24,3.150000,3.150000,3.150000,3.150000,3.150000,0
2011-01-25,3.150000,3.150000,3.150000,3.150000,3.150000,0
2011-01-26,3.160000,3.160000,3.160000,3.160000,3.160000,0
2011-01-27,3.150000,3.150000,3.150000,3.150000,3.150000,0
2011-01-28,3.130000,3.130000,3.130000,3.130000,3.130000,0
2011-01-31,3.090000,3.090000,3.090000,3.090000,3.090000,0
2011-02-01,3.110000,3.110000,3.110000,3.110000,3.110000,0
2011-02-02,3.110000,3.110000,3.110000,3.110000,3.110000,0
2011-02-03,3.150000,3.150000,3.150000,3.150000,3.150000,0
2011-02-04,3.160000,3.160000,3.160000,3.160000,3.160000,0
2011-02-07,3.160000,3.160000,3.160000,3.160000,3.160000,0
2011-02-08,3.120000,3.120000,3.120000,3.120000,3.120000,0
2011-02-09,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-02-10,3.030000,3.030000,3.030000,3.030000,3.030000,0
2011-02-11,3.050000,3.050000,3.050000,3.050000,3.050000,0
2011-02-14,3.110000,3.110000,3.110000,3.110000,3.110000,0
2011-02-15,3.100000,3.100000,3.100000,3.100000,3.100000,0
2011-02-16,3.110000,3.110000,3.110000,3.110000,3.110000,0
2011-02-17,3.100000,3.100000,3.100000,3.100000,3.100000,0
2011-02-18,3.120000,3.120000,3.120000,3.120000,3.120000,0
2011-02-21,3.110000,3.110000,3.110000,3.110000,3.110000,0
2011-02-22,3.050000,3.050000,3.050000,3.050000,3.050000,0
2011-02-23,3.020000,3.020000,3.020000,3.020000,3.020000,0
2011-02-24,2.990000,2.990000,2.990000,2.990000,2.990000,0
2011-02-25,3.030000,3.030000,3.030000,3.030000,3.030000,0
2011-02-28,3.040000,3.040000,3.040000,3.040000,3.040000,0
2011-03-01,3.050000,3.050000,3.050000,3.050000,3.050000,0
2011-03-02,3.040000,3.040000,3.040000,3.040000,3.040000,0
2011-03-03,3.060000,3.060000,3.060000,3.060000,3.060000,0
2011-03-04,3.080000,3.080000,3.080000,3.080000,3.080000,0
2011-03-07,3.060000,3.060000,3.060000,3.060000,3.060000,0
2011-03-08,3.100000,3.100000,3.100000,3.100000,3.100000,0
2011-03-09,3.090000,3.090000,3.090000,3.090000,3.090000,0
2011-03-10,3.060000,3.060000,3.060000,3.060000,3.060000,0
2011-03-11,3.040000,3.040000,3.040000,3.040000,3.040000,0
2011-03-14,3.030000,3.030000,3.030000,3.030000,3.030000,0
2011-03-15,2.970000,2.970000,2.970000,2.970000,2.970000,0
2011-03-16,2.990000,2.990000,2.990000,2.990000,2.990000,0
2011-03-17,2.950000,2.950000,2.950000,2.950000,2.950000,0
2011-03-18,2.950000,2.950000,2.950000,2.950000,2.950000,0
2011-03-21,2.970000,2.970000,2.970000,2.970000,2.970000,0
2011-03-22,2.990000,2.990000,2.990000,2.990000,2.990000,0
2011-03-23,3.020000,3.020000,3.020000,3.020000,3.020000,0
2011-03-24,3.030000,3.030000,3.030000,3.030000,3.030000,0
2011-03-25,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-03-28,3.060000,3.060000,3.060000,3.060000,3.060000,0
2011-03-29,3.080000,3.080000,3.080000,3.080000,3.080000,0
2011-03-30,3.120000,3.120000,3.120000,3.120000,3.120000,0
2011-03-31,3.130000,3.130000,3.130000,3.130000,3.130000,0
2011-04-01,3.180000,3.180000,3.180000,3.180000,3.180000,0
2011-04-04,3.180000,3.180000,3.180000,3.180000,3.180000,0
2011-04-05,3.190000,3.190000,3.190000,3.190000,3.190000,0
2011-04-06,3.180000,3.180000,3.180000,3.180000,3.180000,0
2011-04-07,3.190000,3.190000,3.190000,3.190000,3.190000,0
2011-04-08,3.170000,3.170000,3.170000,3.170000,3.170000,0
2011-04-11,3.150000,3.150000,3.150000,3.150000,3.150000,0
2011-04-12,3.080000,3.080000,3.080000,3.080000,3.080000,0
2011-04-13,3.100000,3.100000,3.100000,3.100000,3.100000,0
2011-04-14,3.100000,3.100000,3.100000,3.100000,3.100000,0
2011-04-15,3.110000,3.110000,3.110000,3.110000,3.110000,0
2011-04-18,3.110000,3.110000,3.110000,3.110000,3.110000,0
2011-04-19,3.090000,3.090000,3.090000,3.090000,3.090000,0
2011-04-20,3.130000,3.130000,3.130000,3.130000,3.130000,0
2011-04-21,3.140000,3.140000,3.140000,3.140000,3.140000,0
2011-04-26,3.120000,3.120000,3.120000,3.120000,3.120000,0
2011-04-27,3.120000,3.120000,3.120000,3.120000,3.120000,0
2011-04-28,3.080000,3.080000,3.080000,3.080000,3.080000,0
2011-04-29,3.080000,3.080000,3.080000,3.080000,3.080000,0
2011-05-02,3.080000,3.080000,3.080000,3.080000,3.080000,0
2011-05-03,3.040000,3.040000,3.040000,3.040000,3.040000,0
2011-05-04,2.990000,2.990000,2.990000,2.990000,2.990000,0
2011-05-05,3.020000,3.020000,3.020000,3.020000,3.020000,0
2011-05-06,3.050000,3.050000,3.050000,3.050000,3.050000,0
2011-05-09,3.100000,3.100000,3.100000,3.100000,3.100000,0
2011-05-10,3.090000,3.090000,3.090000,3.090000,3.090000,0
2011-05-11,3.100000,3.100000,3.100000,3.100000,3.100000,0
2011-05-12,3.080000,3.080000,3.080000,3.080000,3.080000,0
2011-05-13,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-05-16,3.040000,3.040000,3.040000,3.040000,3.040000,0
2011-05-17,3.050000,3.050000,3.050000,3.050000,3.050000,0
2011-05-18,3.050000,3.050000,3.050000,3.050000,3.050000,0
2011-05-19,3.050000,3.050000,3.050000,3.050000,3.050000,0
2011-05-20,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-05-23,3.030000,3.030000,3.030000,3.030000,3.030000,0
2011-05-24,3.040000,3.040000,3.040000,3.040000,3.040000,0
2011-05-25,3.030000,3.030000,3.030000,3.030000,3.030000,0
2011-05-26,3.060000,3.060000,3.060000,3.060000,3.060000,0
2011-05-27,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-05-30,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-05-31,3.100000,3.100000,3.100000,3.100000,3.100000,0
2011-06-01,3.080000,3.080000,3.080000,3.080000,3.080000,0
2011-06-02,3.060000,3.060000,3.060000,3.060000,3.060000,0
2011-06-03,3.030000,3.030000,3.030000,3.030000,3.030000,0
2011-06-06,3.000000,3.000000,3.000000,3.000000,3.000000,0
2011-06-07,2.990000,2.990000,2.990000,2.990000,2.990000,0
2011-06-08,2.990000,2.990000,2.990000,2.990000,2.990000,0
2011-06-09,3.000000,3.000000,3.000000,3.000000,3.000000,0
2011-06-10,3.000000,3.000000,3.000000,3.000000,3.000000,0
2011-06-13,2.990000,2.990000,2.990000,2.990000,2.990000,0
2011-06-14,2.990000,2.990000,2.990000,2.990000,2.990000,0
2011-06-15,3.010000,3.010000,3.010000,3.010000,3.010000,0
2011-06-16,2.990000,2.990000,2.990000,2.990000,2.990000,0
2011-06-17,2.950000,2.950000,2.950000,2.950000,2.950000,0
2011-06-20,2.930000,2.930000,2.930000,2.930000,2.930000,0
2011-06-21,2.960000,2.960000,2.960000,2.960000,2.960000,0
2011-06-22,2.950000,2.950000,2.950000,2.950000,2.950000,0
2011-06-23,2.980000,2.980000,2.980000,2.980000,2.980000,0
2011-06-24,3.010000,3.010000,3.010000,3.010000,3.010000,0
2011-06-27,2.970000,2.970000,2.970000,2.970000,2.970000,0
2011-06-28,2.980000,2.980000,2.980000,2.980000,2.980000,0
2011-06-29,3.010000,3.010000,3.010000,3.010000,3.010000,0
2011-06-30,3.020000,3.020000,3.020000,3.020000,3.020000,0
2011-07-01,3.050000,3.050000,3.050000,3.050000,3.050000,0
2011-07-04,3.080000,3.080000,3.080000,3.080000,3.080000,0
2011-07-05,3.080000,3.080000,3.080000,3.080000,3.080000,0
2011-07-06,3.100000,3.100000,3.100000,3.100000,3.100000,0
2011-07-07,3.110000,3.110000,3.110000,3.110000,3.110000,0
2011-07-08,3.120000,3.120000,3.120000,3.120000,3.120000,0
2011-07-11,3.120000,3.120000,3.120000,3.120000,3.120000,0
2011-07-12,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-07-13,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-07-14,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-07-15,3.080000,3.080000,3.080000,3.080000,3.080000,0
2011-07-18,3.060000,3.060000,3.060000,3.060000,3.060000,0
2011-07-19,3.040000,3.040000,3.040000,3.040000,3.040000,0
2011-07-20,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-07-21,3.040000,3.040000,3.040000,3.040000,3.040000,0
2011-07-22,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-07-25,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-07-26,3.060000,3.060000,3.060000,3.060000,3.060000,0
2011-07-27,3.060000,3.060000,3.060000,3.060000,3.060000,0
2011-07-28,3.070000,3.070000,3.070000,3.070000,3.070000,0
2011-07-29,3.030000,3.030000,3.030000,3.030000,3.030000,0
2011-08-01,3.100000,3.100000,3.100000,3.100000,3.100000,0
2011-08-02,3.040000,3.040000,3.040000,3.040000,3.040000,0
2011-08-03,2.960000,2.960000,2.960000,2.960000,2.960000,0
2011-08-04,2.900000,2.900000,2.900000,2.900000,2.900000,0
2011-08-05,2.810000,2.810000,2.810000,2.810000,2.810000,0
2011-08-08,2.670000,2.670000,2.670000,2.670000,2.670000,0
2011-08-09,2.610000,2.610000,2.610000,2.610000,2.610000,0
2011-08-10,2.650000,2.650000,2.650000,2.650000,2.650000,0
2011-08-11,2.660000,2.660000,2.660000,2.660000,2.660000,0
2011-08-12,2.670000,2.670000,2.670000,2.670000,2.670000,0
2011-08-15,2.680000,2.680000,2.680000,2.680000,2.680000,0
2011-08-16,2.710000,2.710000,2.710000,2.710000,2.710000,0
2011-08-17,2.720000,2.720000,2.720000,2.720000,2.720000,0
2011-08-18,2.670000,2.670000,2.670000,2.670000,2.670000,0
2011-08-19,2.580000,2.580000,2.580000,2.580000,2.580000,0
2011-08-22,2.580000,2.580000,2.580000,2.580000,2.580000,0
2011-08-23,2.630000,2.630000,2.630000,2.630000,2.630000,0
2011-08-24,2.600000,2.600000,2.600000,2.600000,2.600000,0
2011-08-25,2.600000,2.600000,2.600000,2.600000,2.600000,0
2011-08-26,2.610000,2.610000,2.610000,2.610000,2.610000,0
2011-08-29,2.650000,2.650000,2.650000,2.650000,2.650000,0
2011-08-30,2.690000,2.690000,2.690000,2.690000,2.690000,0
2011-08-31,2.750000,2.750000,2.750000,2.750000,2.750000,0
2011-09-01,2.790000,2.790000,2.790000,2.790000,2.790000,0
2011-09-02,2.760000,2.760000,2.760000,2.760000,2.760000,0
2011-09-05,2.690000,2.690000,2.690000,2.690000,2.690000,0
2011-09-06,2.700000,2.700000,2.700000,2.700000,2.700000,0
2011-09-07,2.760000,2.760000,2.760000,2.760000,2.760000,0
2011-09-08,2.780000,2.780000,2.780000,2.780000,2.780000,0
2011-09-09,2.780000,2.780000,2.780000,2.780000,2.780000,0
2011-09-12,2.740000,2.740000,2.740000,2.740000,2.740000,0
2011-09-13,2.710000,2.710000,2.710000,2.710000,2.710000,0
2011-09-14,2.680000,2.680000,2.680000,2.680000,2.680000,0
2011-09-15,2.670000,2.670000,2.670000,2.670000,2.670000,0
2011-09-16,2.720000,2.720000,2.720000,2.720000,2.720000,0
2011-09-19,2.680000,2.680000,2.680000,2.680000,2.680000,0
2011-09-20,2.670000,2.670000,2.670000,2.670000,2.670000,0
2011-09-21,2.640000,2.640000,2.640000,2.640000,2.640000,0
2011-09-22,2.510000,2.510000,2.510000,2.510000,2.510000,0
2011-09-23,2.450000,2.450000,2.450000,2.450000,2.450000,0
2011-09-26,2.430000,2.430000,2.430000,2.430000,2.430000,0
2011-09-27,2.520000,2.520000,2.520000,2.520000,2.520000,0
2011-09-28,2.520000,2.520000,2.520000,2.520000,2.520000,0
2011-09-29,2.520000,2.520000,2.520000,2.520000,2.520000,0
2011-09-30,2.520000,2.520000,2.520000,2.520000,2.520000,0
