Date,Open,High,Low,Close,Adj Close,Volume
2002-04-01,3.593200,3.626100,3.573800,3.573800,3.573800,0
2002-04-02,3.573800,3.619600,3.573800,3.608900,3.608900,0
2002-04-03,3.602800,3.611000,3.584000,3.604300,3.604300,0
2002-04-04,3.600200,3.613200,3.590300,3.598600,3.598600,0
2002-04-05,3.594000,3.603600,3.583300,3.592900,3.592900,0
2002-04-08,3.583300,3.600200,3.573500,3.580000,3.580000,0
2002-04-09,3.582900,3.599300,3.574300,3.594500,3.594500,0
2002-04-10,3.602600,3.610000,3.572900,3.593200,3.593200,0
2002-04-11,3.588300,3.606400,3.582000,3.591900,3.591900,0
2002-04-12,3.589900,3.596700,3.565000,3.578000,3.578000,0
2002-04-15,3.581800,3.597200,3.553900,3.574000,3.574000,0
2002-04-16,3.576100,3.592000,3.568000,3.581100,3.581100,0
2002-04-17,3.582500,3.598400,3.558600,3.582800,3.582800,0
2002-04-18,3.597700,3.599700,3.576800,3.582600,3.582600,0
2002-04-19,3.593200,3.595800,3.577000,3.581000,3.581000,0
2002-04-22,3.583700,3.592200,3.572700,3.572700,3.572700,0
2002-04-23,3.582100,3.610400,3.568500,3.590000,3.590000,0
2002-04-24,3.579700,3.605700,3.577700,3.601700,3.601700,0
2002-04-25,3.602700,3.618800,3.592500,3.617300,3.617300,0
2002-04-26,3.615300,3.617300,3.568000,3.591200,3.591200,0
2002-04-29,3.599900,3.601100,3.580000,3.587900,3.587900,0
2002-04-30,3.589900,3.611600,3.581000,3.592800,3.592800,0
2002-05-01,3.591000,3.617100,3.589000,3.599500,3.599500,0
2002-05-02,3.600100,3.629400,3.589800,3.624300,3.624300,0
2002-05-03,3.622000,3.666600,3.618300,3.654000,3.654000,0
2002-05-06,3.650900,3.654000,3.612800,3.629500,3.629500,0
2002-05-07,3.632700,3.635600,3.604000,3.618700,3.618700,0
2002-05-08,3.610000,3.635800,3.608000,3.614300,3.614300,0
2002-05-09,3.619300,3.662700,3.612200,3.662300,3.662300,0
2002-05-10,3.671800,3.678900,3.637700,3.657000,3.657000,0
2002-05-13,3.664300,3.694600,3.652000,3.694600,3.694600,0
2002-05-14,3.685300,3.741400,3.677000,3.690400,3.690400,0
2002-05-15,3.681100,3.726000,3.658800,3.725000,3.725000,0
2002-05-16,3.737100,3.761500,3.711100,3.736700,3.736700,0
2002-05-17,3.738200,3.778000,3.734500,3.768300,3.768300,0
2002-05-20,3.773200,3.777800,3.743000,3.754000,3.754000,0
2002-05-21,3.736200,3.776100,3.734900,3.768500,3.768500,0
2002-05-22,3.770500,3.790900,3.756900,3.781800,3.781800,0
2002-05-23,3.783100,3.787800,3.751000,3.775500,3.775500,0
2002-05-24,3.769600,3.781600,3.748100,3.753600,3.753600,0
2002-05-27,3.748400,3.761800,3.732100,3.754400,3.754400,0
2002-05-28,3.743100,3.767000,3.717200,3.754600,3.754600,0
2002-05-29,3.754100,3.780000,3.747500,3.773200,3.773200,0
2002-05-30,3.770800,3.788300,3.739900,3.768000,3.768000,0
2002-05-31,3.783100,3.804500,3.732500,3.752800,3.752800,0
2002-06-03,3.746900,3.776600,3.738000,3.776600,3.776600,0
2002-06-04,3.774500,3.799700,3.768000,3.771200,3.771200,0
2002-06-05,3.771600,3.819500,3.750300,3.751500,3.751500,0
2002-06-06,3.768400,3.791500,3.747500,3.783000,3.783000,0
2002-06-07,3.790400,3.808100,3.769700,3.796200,3.796200,0
2002-06-10,3.768800,3.823300,3.768800,3.798400,3.798400,0
2002-06-11,3.791700,3.828200,3.788900,3.817900,3.817900,0
2002-06-12,3.806900,3.830600,3.785500,3.794600,3.794600,0
2002-06-13,3.782900,3.807400,3.775700,3.794800,3.794800,0
2002-06-14,3.784100,3.831000,3.778700,3.824000,3.824000,0
2002-06-17,3.796000,3.827100,3.719600,3.820500,3.820500,0
2002-06-18,3.829400,3.846100,3.783600,3.797400,3.797400,0
2002-06-19,3.833000,3.849000,3.814300,3.842000,3.842000,0
2002-06-20,3.846500,3.881100,3.840000,3.876900,3.876900,0
2002-06-21,3.872700,3.918200,3.797400,3.898200,3.898200,0
2002-06-24,3.889300,3.957500,3.875300,3.913300,3.913300,0
2002-06-25,3.910300,3.938900,3.886200,3.936400,3.936400,0
2002-06-26,3.963700,4.023700,3.936400,3.975700,3.975700,0
2002-06-27,3.938200,4.002000,3.935800,4.001700,4.001700,0
2002-06-28,3.995900,4.065000,3.975000,4.013400,4.013400,0
2002-07-01,4.029400,4.047300,3.958800,3.985900,3.985900,0
2002-07-02,3.964000,4.032000,3.920900,4.020600,4.020600,0
2002-07-03,3.993800,4.063100,3.988000,4.028300,4.028300,0
2002-07-04,3.953200,4.046000,3.953200,4.028300,4.028300,0
2002-07-05,3.998700,4.066600,3.997300,4.060900,4.060900,0
2002-07-08,4.091500,4.162600,4.066000,4.140500,4.140500,0
2002-07-09,4.100200,4.196100,4.098100,4.190300,4.190300,0
2002-07-10,4.150800,4.202400,4.077200,4.112500,4.112500,0
2002-07-11,4.098300,4.165600,4.081400,4.147900,4.147900,0
2002-07-12,4.104900,4.147900,4.090000,4.130300,4.130300,0
2002-07-15,4.126200,4.219200,4.126200,4.199800,4.199800,0
2002-07-16,4.202900,4.224800,4.144900,4.153000,4.153000,0
2002-07-17,4.162600,4.179300,4.099100,4.119500,4.119500,0
2002-07-18,4.108600,4.131000,4.065000,4.068500,4.068500,0
2002-07-19,4.117600,4.120600,4.072200,4.090200,4.090200,0
2002-07-22,4.055200,4.166600,4.040900,4.098800,4.098800,0
2002-07-23,4.004900,4.067600,3.998500,4.060900,4.060900,0
2002-07-24,4.049000,4.098300,4.030800,4.041700,4.041700,0
2002-07-25,4.066400,4.105600,4.040000,4.083000,4.083000,0
2002-07-26,4.072700,4.120000,4.044400,4.087500,4.087500,0
2002-07-29,4.043700,4.070000,4.013100,4.054500,4.054500,0
2002-07-30,4.050000,4.114100,4.029400,4.111100,4.111100,0
2002-07-31,4.054400,4.111100,4.048300,4.093100,4.093100,0
2002-08-01,4.084800,4.135000,4.012100,4.127400,4.127400,0
2002-08-02,4.137200,4.159000,4.108000,4.132300,4.132300,0
2002-08-05,4.125000,4.132300,4.081100,4.093000,4.093000,0
2002-08-06,4.068800,4.097400,4.028500,4.073600,4.073600,0
2002-08-07,4.066800,4.100500,4.041000,4.081200,4.081200,0
2002-08-08,4.078900,4.104400,4.034800,4.071400,4.071400,0
2002-08-09,4.051600,4.091700,4.034500,4.073400,4.073400,0
2002-08-12,4.066900,4.096700,4.054000,4.095000,4.095000,0
2002-08-13,4.087100,4.145000,4.067900,4.108600,4.108600,0
2002-08-14,4.109600,4.126300,4.079900,4.085500,4.085500,0
2002-08-15,4.067100,4.142300,4.044500,4.092600,4.092600,0
2002-08-16,4.069400,4.117600,4.066100,4.102800,4.102800,0
2002-08-19,4.110700,4.121000,4.050800,4.067000,4.067000,0
2002-08-20,4.062600,4.088000,4.030700,4.069600,4.069600,0
2002-08-21,4.047300,4.088300,4.032200,4.080700,4.080700,0
2002-08-22,4.060500,4.100200,4.052500,4.067100,4.067100,0
2002-08-23,4.067100,4.089800,4.039700,4.060100,4.060100,0
2002-08-26,4.043700,4.067100,4.029000,4.064000,4.064000,0
2002-08-27,4.067800,4.273200,4.035700,4.094100,4.094100,0
2002-08-28,4.094100,4.097500,4.046100,4.064100,4.064100,0
2002-08-29,4.064100,4.099500,4.041300,4.083300,4.083300,0
2002-08-30,4.083300,4.087000,4.025600,4.052100,4.052100,0
2002-09-02,4.052100,4.071400,4.027800,4.052100,4.052100,0
2002-09-03,4.052100,4.184000,4.044200,4.184000,4.184000,0
2002-09-04,4.184000,4.184000,4.045900,4.101000,4.101000,0
2002-09-05,4.101000,4.149800,4.069100,4.119900,4.119900,0
2002-09-06,4.119900,4.155700,4.078900,4.107000,4.107000,0
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,null,null,null,null,null,null
2002-09-12,null,null,null,null,null,null
2002-09-13,null,null,null,null,null,null
2002-09-16,null,null,null,null,null,null
2002-09-17,null,null,null,null,null,null
2002-09-18,null,null,null,null,null,null
2002-09-19,null,null,null,null,null,null
2002-09-20,null,null,null,null,null,null
2002-09-23,null,null,null,null,null,null
2002-09-24,null,null,null,null,null,null
2002-09-25,null,null,null,null,null,null
2002-09-26,null,null,null,null,null,null
2002-09-27,null,null,null,null,null,null
2002-09-30,null,null,null,null,null,null
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,null,null,null,null,null,null
2002-10-07,4.075800,4.097000,4.028900,4.091000,4.091000,0
2002-10-08,4.091000,4.098300,3.725400,4.063600,4.063600,0
2002-10-09,4.063600,4.125500,4.052200,4.121800,4.121800,0
2002-10-10,4.121800,4.162500,4.056900,4.162400,4.162400,0
2002-10-11,4.162400,4.165400,4.056600,4.162400,4.162400,0
2002-10-14,4.162400,4.162400,4.052000,4.162400,4.162400,0
2002-10-15,4.162400,4.362600,3.982000,4.061600,4.061600,0
2002-10-16,4.061600,4.088700,4.041800,4.074800,4.074800,0
2002-10-17,4.074800,4.074800,4.040400,4.046400,4.046400,0
2002-10-18,4.046400,4.069100,4.025800,4.053200,4.053200,0
2002-10-21,4.053200,4.179800,4.000100,4.025900,4.025900,0
2002-10-22,4.025900,4.037900,4.003000,4.022600,4.022600,0
2002-10-23,4.022600,4.029200,4.002000,4.015000,4.015000,0
2002-10-24,4.015000,4.018500,3.974800,3.975200,3.975200,0
2002-10-25,3.975200,3.990000,3.956000,3.956000,3.956000,0
2002-10-28,3.956000,3.991400,3.936200,3.989600,3.989600,0
2002-10-29,3.989600,3.993800,3.964000,3.983700,3.983700,0
2002-10-30,3.983700,3.990300,3.965600,3.982400,3.982400,0
2002-10-31,3.982400,4.024100,3.958300,3.991100,3.991100,0
2002-11-01,3.991100,4.079000,3.940000,3.995900,3.995900,0
2002-11-04,3.995900,3.995900,3.952400,3.979800,3.979800,0
2002-11-05,3.979800,4.001100,3.961300,3.968000,3.968000,0
2002-11-06,3.968000,4.038400,3.921700,3.972300,3.972300,0
2002-11-07,3.972300,3.972300,3.946000,3.968300,3.968300,0
2002-11-08,3.968300,3.979200,3.941600,3.959800,3.959800,0
2002-11-11,3.959800,3.960400,3.918900,3.960400,3.960400,0
2002-11-12,3.960400,3.963100,3.911000,3.961500,3.961500,0
2002-11-13,3.961500,3.982600,3.941400,3.981400,3.981400,0
2002-11-14,3.981400,3.988000,3.925700,3.961600,3.961600,0
2002-11-15,3.961600,4.020500,3.929400,3.958900,3.958900,0
2002-11-18,3.958900,3.964400,3.835200,3.929700,3.929700,0
2002-11-19,3.929700,3.969900,3.753000,3.917700,3.917700,0
2002-11-20,3.917700,3.957300,3.909000,3.956900,3.956900,0
2002-11-21,3.956900,3.982100,3.924000,3.954300,3.954300,0
2002-11-22,3.954300,3.961600,3.901200,3.923500,3.923500,0
2002-11-25,3.923500,3.959600,3.904400,3.944800,3.944800,0
2002-11-26,3.944800,3.972300,3.926000,3.959900,3.959900,0
2002-11-27,3.959900,3.967300,3.935300,3.965200,3.965200,0
2002-11-28,3.965200,3.992900,3.940900,3.972700,3.972700,0
2002-11-29,3.972700,4.006000,3.966200,3.984800,3.984800,0
2002-12-02,3.984800,4.022300,3.293600,3.983300,3.983300,0
2002-12-03,3.973800,4.072700,3.970000,3.978100,3.978100,0
2002-12-04,3.978100,3.999300,3.972300,3.989400,3.989400,0
2002-12-05,3.989400,4.023900,0.825100,0.825100,0.825100,0
2002-12-06,0.825100,4.031900,0.825100,4.002800,4.002800,0
2002-12-09,4.002800,4.019000,3.908500,3.980200,3.980200,0
2002-12-10,3.980200,4.009200,3.969000,3.983600,3.983600,0
2002-12-11,3.983600,3.985300,3.951100,3.966700,3.966700,0
2002-12-12,3.966700,3.976000,3.949000,3.952500,3.952500,0
2002-12-13,3.952500,3.994700,3.946500,3.965900,3.965900,0
2002-12-16,3.965900,3.979100,3.939300,3.971000,3.971000,0
2002-12-17,3.971000,4.008200,3.931600,4.001900,4.001900,0
2002-12-18,4.001900,4.023000,3.968200,3.994700,3.994700,0
2002-12-19,3.994700,3.998000,3.948800,3.977400,3.977400,0
2002-12-20,3.977400,3.991000,3.963900,3.976800,3.976800,0
2002-12-23,3.976800,3.998400,3.886200,3.962800,3.962800,0
2002-12-24,3.962800,3.993700,3.952300,3.973500,3.973500,0
2002-12-25,3.973500,3.990400,3.967000,3.973500,3.973500,0
2002-12-26,3.973500,4.006700,3.963500,3.993900,3.993900,0
2002-12-27,3.993900,4.004500,3.976800,3.976900,3.976900,0
2002-12-30,3.976900,4.015400,3.976900,4.013600,4.013600,0
2002-12-31,4.013600,7.143600,3.997000,7.143600,7.143600,0
2003-01-01,7.143600,7.143600,6.163800,6.163800,6.163800,0
2003-01-02,6.163800,10151.900391,3.656000,3.973800,3.973800,0
2003-01-03,3.973800,4.000100,3.970000,3.984600,3.984600,0
2003-01-06,3.984600,4.006300,3.983000,3.997000,3.997000,0
2003-01-07,3.997000,4.029800,0.081900,3.424200,3.424200,0
2003-01-08,3.424200,4.022000,3.401500,4.013500,4.013500,0
2003-01-09,4.013500,4.031600,4.005000,4.022700,4.022700,0
2003-01-10,4.022700,4.067300,4.005000,4.019200,4.019200,0
2003-01-13,4.019200,4.036800,3.991100,4.023000,4.023000,0
2003-01-14,4.023000,4.032500,3.985200,4.004600,4.004600,0
2003-01-15,4.004600,4.031800,3.993900,4.011800,4.011800,0
2003-01-16,4.011800,4.093300,3.996000,4.074700,4.074700,0
2003-01-17,4.074700,4.115000,4.040900,4.081300,4.081300,0
2003-01-20,4.081300,4.097800,4.057000,4.064500,4.064500,0
2003-01-21,4.064500,4.178800,4.052400,4.168700,4.168700,0
2003-01-22,4.168700,4.203400,4.127100,4.168500,4.168500,0
2003-01-23,4.168500,4.245300,4.156700,4.195400,4.195400,0
2003-01-24,4.195400,4.209000,4.133000,4.182200,4.182200,0
2003-01-27,4.182200,4.188300,4.151100,4.168700,4.168700,0
2003-01-28,4.168700,4.168700,3.946100,4.124700,4.124700,0
2003-01-29,4.124700,4.148600,4.083100,4.103600,4.103600,0
2003-01-30,4.103600,4.126600,4.025000,4.118400,4.118400,0
2003-01-31,4.118400,4.138600,4.093800,4.115300,4.115300,0
2003-02-03,4.115300,6.200800,4.084000,6.200800,6.200800,0
2003-02-04,6.200800,6.210500,4.127700,4.151100,4.151100,0
2003-02-05,4.151100,4.180700,3.655500,4.135000,4.135000,0
2003-02-06,4.135000,4.199700,4.126800,4.163800,4.163800,0
2003-02-07,4.163800,4.183600,4.136200,4.182000,4.182000,0
2003-02-10,4.180500,4.181100,4.142200,4.145800,4.145800,0
2003-02-11,4.145800,4.153900,4.116000,4.145200,4.145200,0
2003-02-12,4.145200,4.161600,4.116700,4.130900,4.130900,0
2003-02-13,4.130900,4.177300,4.123100,4.159300,4.159300,0
2003-02-14,4.159300,4.179200,4.114700,4.156800,4.156800,0
2003-02-17,4.156800,4.159400,4.131000,4.157500,4.157500,0
2003-02-18,4.157500,4.159300,4.107100,4.140700,4.140700,0
2003-02-19,4.140700,4.181500,4.138000,4.164800,4.164800,0
2003-02-20,4.164800,4.215500,4.052500,4.202700,4.202700,0
2003-02-21,4.202700,4.210700,4.014500,4.183300,4.183300,0
2003-02-24,4.183300,4.253300,4.074500,4.192800,4.192800,0
2003-02-25,4.192800,4.209900,4.170500,4.182700,4.182700,0
2003-02-26,4.182700,4.203800,3.919800,4.152800,4.152800,0
2003-02-27,4.152800,4.205400,4.152800,4.189400,4.189400,0
2003-02-28,4.189400,4.246300,4.184500,4.245500,4.245500,0
2003-03-03,4.245500,4.674500,4.226200,4.674500,4.674500,0
