Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,6.690600,6.706100,6.654700,6.688800,6.688800,0
2003-12-02,6.689600,6.715800,6.661000,6.667900,6.667900,0
2003-12-03,6.666300,6.685800,6.592600,6.605700,6.605700,0
2003-12-04,6.605000,6.632900,6.576200,6.577300,6.577300,0
2003-12-05,6.578500,6.613500,6.569300,6.611600,6.611600,0
2003-12-08,6.599300,6.623100,6.580300,6.597400,6.597400,0
2003-12-09,6.597400,6.674800,6.597000,6.659700,6.659700,0
2003-12-10,6.658600,6.661300,6.602200,6.613300,6.613300,0
2003-12-11,6.612900,6.669900,6.603700,6.659300,6.659300,0
2003-12-12,6.660400,6.662400,6.613300,6.617900,6.617900,0
2003-12-15,6.631800,6.640900,6.581100,6.583600,6.583600,0
2003-12-16,6.582100,6.625000,6.543200,6.618600,6.618600,0
2003-12-17,6.617800,6.626100,6.572400,6.600700,6.600700,0
2003-12-18,6.600300,6.634900,6.590000,6.608100,6.608100,0
2003-12-19,6.607300,6.642500,6.596700,6.626000,6.626000,0
2003-12-22,6.618200,6.627900,6.566300,6.575400,6.575400,0
2003-12-23,6.576200,6.879300,6.575800,6.590700,6.590700,0
2003-12-24,6.591400,6.659800,6.589200,6.626700,6.626700,0
2003-12-25,6.624800,6.635700,6.609200,6.633100,6.633100,0
2003-12-26,6.631600,6.651000,6.604600,6.618400,6.618400,0
2003-12-29,6.649100,6.663100,6.624900,6.661600,6.661600,0
2003-12-30,6.661600,6.687200,6.639900,6.672300,6.672300,0
2003-12-31,6.672000,6.703500,6.626800,6.670800,6.670800,0
2004-01-01,6.656500,6.656500,6.630500,6.644600,6.644600,0
2004-01-02,6.644600,6.682200,6.621200,6.672100,6.672100,0
2004-01-05,6.668700,6.677500,6.632300,6.657600,6.657600,0
2004-01-06,6.657300,6.709200,6.612400,6.629300,6.629300,0
2004-01-07,6.631100,6.718200,6.616700,6.687500,6.687500,0
2004-01-08,6.680500,6.753900,6.666200,6.732700,6.732700,0
2004-01-09,6.731600,6.766900,6.707100,6.740300,6.740300,0
2004-01-12,6.736500,6.796300,6.732900,6.770200,6.770200,0
2004-01-13,6.771600,6.870500,6.761400,6.869300,6.869300,0
2004-01-14,6.869000,6.900000,6.584400,6.866000,6.866000,0
2004-01-15,6.870500,6.871700,6.814200,6.852200,6.852200,0
2004-01-16,6.852600,6.858200,6.803700,6.818400,6.818400,0
2004-01-19,6.825200,6.854500,6.772900,6.795100,6.795100,0
2004-01-20,6.795100,6.850100,6.779100,6.824100,6.824100,0
2004-01-21,6.822200,6.849900,6.804500,6.827600,6.827600,0
2004-01-22,6.832800,6.844400,6.787000,6.796000,6.796000,0
2004-01-23,6.794500,6.812000,6.735000,6.769800,6.769800,0
2004-01-26,6.773200,6.822100,6.757200,6.811200,6.811200,0
2004-01-27,6.814600,6.917800,6.798100,6.860400,6.860400,0
2004-01-28,6.862300,6.910200,6.802800,6.809900,6.809900,0
2004-01-29,6.812600,6.982200,6.808800,6.952800,6.952800,0
2004-01-30,6.953600,7.029300,6.934000,7.000700,7.000700,0
2004-02-02,7.022600,7.031800,6.968800,7.010800,7.010800,0
2004-02-03,7.005800,7.028000,6.982500,6.992400,6.992400,0
2004-02-04,6.993900,7.028000,6.982500,7.005400,7.005400,0
2004-02-05,7.005800,7.098100,6.970100,7.073200,7.073200,0
2004-02-06,7.076300,7.127500,7.023400,7.034100,7.034100,0
2004-02-09,7.025800,7.092500,7.025800,7.060300,7.060300,0
2004-02-10,7.060600,7.110000,7.029700,7.091700,7.091700,0
2004-02-11,7.090200,7.185600,7.089900,7.157200,7.157200,0
2004-02-12,7.156400,7.217000,7.138800,7.191300,7.191300,0
2004-02-13,7.190500,7.206500,7.145200,7.186300,7.186300,0
2004-02-16,7.162000,7.193300,7.151700,7.167000,7.167000,0
2004-02-17,7.166200,7.229800,7.157800,7.213600,7.213600,0
2004-02-18,7.225700,7.261800,7.174400,7.232800,7.232800,0
2004-02-19,7.233600,7.317000,7.226000,7.312800,7.312800,0
2004-02-20,7.314700,7.317800,7.217700,7.230900,7.230900,0
2004-02-23,7.197900,7.266100,7.139800,7.230000,7.230000,0
2004-02-24,7.229700,7.292300,7.204100,7.274000,7.274000,0
2004-02-25,7.272000,7.319800,7.196800,7.207900,7.207900,0
2004-02-26,7.220800,7.303500,7.191700,7.267200,7.267200,0
2004-02-27,7.264100,7.321800,7.244100,7.321400,7.321400,0
2004-03-01,7.316700,7.369500,7.311000,7.330900,7.330900,0
2004-03-02,7.330100,7.339100,7.265400,7.302600,7.302600,0
2004-03-03,7.301400,7.313100,7.220200,7.229000,7.229000,0
2004-03-04,7.225500,7.256600,7.192700,7.204400,7.204400,0
2004-03-05,7.202800,7.279600,7.173500,7.208600,7.208600,0
2004-03-08,7.207300,7.212000,7.108500,7.142500,7.142500,0
2004-03-09,7.141700,7.178600,6.979700,7.061400,7.061400,0
2004-03-10,7.141700,7.178600,6.967300,6.967400,6.967400,0
2004-03-11,6.979400,7.042300,6.957300,6.987400,6.987400,0
2004-03-12,6.986600,7.021600,6.915100,7.020100,7.020100,0
2004-03-15,6.983300,7.006600,6.888400,6.925500,6.925500,0
2004-03-16,6.922400,6.986700,6.891200,6.966700,6.966700,0
2004-03-17,6.969400,7.024200,6.958100,6.999800,6.999800,0
2004-03-18,6.998700,7.070700,6.996400,7.029800,7.029800,0
2004-03-19,7.026700,7.037300,6.977300,7.022600,7.022600,0
2004-03-22,7.018400,7.069900,6.992300,7.032800,7.032800,0
2004-03-23,7.032000,7.067500,7.011800,7.063600,7.063600,0
2004-03-24,7.064400,7.070100,7.008000,7.035300,7.035300,0
2004-03-25,7.037300,7.063200,6.972100,7.047100,7.047100,0
2004-03-26,7.047100,7.123700,7.036100,7.066300,7.066300,0
2004-03-29,7.046800,7.093000,7.036500,7.057700,7.057700,0
2004-03-30,7.058100,7.098100,7.039600,7.078700,7.078700,0
2004-03-31,7.074800,7.115500,7.039600,7.101700,7.101700,0
2004-04-01,7.104000,7.133900,7.078000,7.098400,7.098400,0
2004-04-02,7.099200,7.144100,7.053200,7.067900,7.067900,0
2004-04-05,7.083500,7.149000,7.067800,7.148600,7.148600,0
2004-04-06,7.148200,7.182000,7.105500,7.160900,7.160900,0
2004-04-07,7.160500,7.191700,7.127400,7.139000,7.139000,0
2004-04-08,7.136200,7.187900,7.132400,7.148400,7.148400,0
2004-04-09,7.147500,7.173500,7.138300,7.155800,7.155800,0
2004-04-12,null,null,null,null,null,null
2004-04-13,7.198200,7.233700,7.167600,7.206200,7.206200,0
2004-04-14,7.206600,7.224100,7.125500,7.207900,7.207900,0
2004-04-15,7.206300,7.227000,7.134400,7.199000,7.199000,0
2004-04-16,7.199400,7.199800,7.130100,7.154000,7.154000,0
2004-04-19,7.161100,7.182600,7.148600,7.172500,7.172500,0
2004-04-20,7.199400,7.199800,7.099300,7.109700,7.109700,0
2004-04-21,7.110100,7.155000,7.081600,7.112300,7.112300,0
2004-04-22,7.103000,7.114800,7.066500,7.102400,7.102400,0
2004-04-23,7.103600,7.127200,7.076900,7.113700,7.113700,0
2004-04-26,7.105700,7.191900,7.092700,7.154000,7.154000,0
2004-04-27,7.154400,7.201600,7.142400,7.177800,7.177800,0
2004-04-28,7.177800,7.195200,7.120700,7.155100,7.155100,0
2004-04-29,7.155100,7.189400,7.060100,7.073400,7.073400,0
2004-04-30,7.071400,7.140300,7.063000,7.098600,7.098600,0
2004-05-03,7.109900,7.140400,7.044400,7.048100,7.048100,0
2004-05-04,7.050100,7.109300,7.011500,7.024500,7.024500,0
2004-05-05,7.024100,7.050300,6.978400,6.978400,6.978400,0
2004-05-06,6.983100,7.072200,6.968100,7.037700,7.037700,0
2004-05-07,7.035000,7.136100,7.012800,7.115400,7.115400,0
2004-05-10,7.125500,7.144800,7.097100,7.107100,7.107100,0
2004-05-11,7.107900,7.137200,7.032600,7.061100,7.061100,0
2004-05-12,7.060700,7.129200,7.047100,7.102500,7.102500,0
2004-05-13,7.097600,7.131600,7.051200,7.051600,7.051600,0
2004-05-14,7.051200,7.097600,7.020400,7.053900,7.053900,0
2004-05-17,7.083600,7.086000,6.994300,6.998200,6.998200,0
2004-05-18,6.990700,7.015900,6.878500,6.894200,6.894200,0
2004-05-19,6.897000,7.003500,6.885600,6.917900,6.917900,0
2004-05-20,6.917500,6.968600,6.851400,6.960400,6.960400,0
2004-05-21,6.961600,6.993200,6.936800,6.963600,6.963600,0
2004-05-24,6.965200,6.967600,6.880200,6.889000,6.889000,0
2004-05-25,6.889800,6.970800,6.881600,6.954000,6.954000,0
2004-05-26,6.957200,7.000300,6.925800,6.944900,6.944900,0
2004-05-27,6.962500,6.993900,6.938700,6.970400,6.970400,0
2004-05-28,6.970200,6.997200,6.928100,6.948900,6.948900,0
2004-05-31,6.954200,6.995100,6.946900,6.989000,6.989000,0
2004-06-01,6.989400,7.008000,6.937900,6.974800,6.974800,0
2004-06-02,6.964000,7.017200,6.936300,6.950600,6.950600,0
2004-06-03,6.951000,6.998100,6.942900,6.960300,6.960300,0
2004-06-04,6.960700,7.008800,6.956200,6.957900,6.957900,0
2004-06-07,6.971900,6.992400,6.834000,6.844200,6.844200,0
2004-06-08,6.837200,6.891900,6.830000,6.888100,6.888100,0
2004-06-09,6.891500,6.965400,6.875200,6.936900,6.936900,0
2004-06-10,6.937900,6.995300,6.916900,6.955800,6.955800,0
2004-06-11,6.950500,6.991600,6.904700,6.901700,6.901700,0
2004-06-14,6.894500,6.927700,6.816700,6.850800,6.850800,0
2004-06-15,6.851200,6.903600,6.831200,6.882100,6.882100,0
2004-06-16,6.881700,6.948800,6.871900,6.919900,6.919900,0
2004-06-17,6.921000,6.976000,6.909800,6.953000,6.953000,0
2004-06-18,6.954100,6.984000,6.905800,6.934600,6.934600,0
2004-06-21,6.908000,6.956400,6.881900,6.951300,6.951300,0
2004-06-22,6.954400,6.959700,6.856900,6.881400,6.881400,0
2004-06-23,6.881000,6.912600,6.819400,6.836700,6.836700,0
